ID,NAME,ADDRESS,CITY,STATE,Type of school,ZIP,TELEPHONE,COUNTY,COUNTYFIPS,COUNTRY,WEBSITE,ALIAS,TOTAL_ENROLLMENT
1,UNIVERSITY OF MARYLAND-UNIVERSITY COLLEGE,3501 UNIVERSITY BLVD EAST,ADELPHI,MD,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",20783,(301) 985-7000,PRINCE GEORGE'S,24033,USA,www.umuc.edu,UMUC,59379
2,LIU HUDSON AT ROCKLAND,70 ROUTE 340,ORANGEBURG,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",10962,NOT AVAILABLE,ROCKLAND,36087,USA,NOT AVAILABLE,NOT AVAILABLE,-999
3,NEW MEXICO STATE UNIVERSITY-DONA ANA,2800 N. SONOMA RANCH BLVD.,LAS CRUCES,NM,JUNIOR COLLEGES,88011,(575) 528-7000,DOÑA ANA,35013,USA,dacc.nmsu.edu/,NMSU-DONA ANA,7917
4,SANTA FE COMMUNITY COLLEGE,6401 RICHARDS AVE,SANTA FE,NM,JUNIOR COLLEGES,87508,(505) 428-1000,SANTA FE,35049,USA,https://www.sfcc.edu,SFCC,4581
5,BRYANT & STRATTON COLLEGE-AMHERST,3650 MILLERSPORT HIGHWAY,GETZVILLE,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",14068,(716) 625-6300,ERIE,36029,USA,www.bryantstratton.edu,NOT AVAILABLE,282
6,CUNY SCHOOL OF LAW,2 COURT SQUARE,LONG ISLAND CITY,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",11101,(718) 340-4200,QUEENS,36081,USA,www.law.cuny.edu,LAW SCHOOL | CUNY LAW SCHOOL,488
7,SOUTHERN WESTCHESTER BOCES-PRACTICAL NURSING PROGRAM,450 MAMARONECK AVENUE,HARRISON,NY,OTHER TECHNICAL AND TRADE SCHOOLS,10528,(914) 592-0849,WESTCHESTER,36119,USA,www.swboces.org,NOT AVAILABLE,121
8,ROCKLAND COMMUNITY COLLEGE,145 COLLEGE RD,SUFFERN,NY,JUNIOR COLLEGES,10901,(845) 574-4000,ROCKLAND,36087,USA,www.sunyrockland.edu/,NOT AVAILABLE,6950
9,OHIO VALLEY COLLEGE OF TECHNOLOGY,15258 STATE ROUTE 170,EAST LIVERPOOL,OH,JUNIOR COLLEGES,43920,(330) 385-1070,COLUMBIANA,39029,USA,ovct.edu,NOT AVAILABLE,162
10,CENTRAL OKLAHOMA COLLEGE,14820 SERENITA AVENUE,OKLAHOMA CITY,OK,COSMETOLOGY AND BARBER SCHOOLS,73134,(405) 609-6622,OKLAHOMA,40109,USA,centraloc.edu,CENTRAL STATE BEAUTY AND WELLNESS COLLEGE,269
11,NORTHWEST COLLEGE-BEAVERTON,4200 SW WATSON AVE,BEAVERTON,OR,COSMETOLOGY AND BARBER SCHOOLS,97005,(503) 649-1388,WASHINGTON,41067,USA,www.nwcollege.edu,NORTHWEST COLLEGE - SCHOOL OF BEAUTY,74
12,PHAGANS CENTRAL OREGON BEAUTY COLLEGE,1310 CUSHING DRIVE,BEND,OR,COSMETOLOGY AND BARBER SCHOOLS,97701,(541) 382-6171,DESCHUTES,41017,USA,www.phagans-schools.com,NOT AVAILABLE,99
13,PHAGANS SCHOOL OF HAIR DESIGN,12000 SE 82ND AVENUE SUITE 4010,HAPPY VALLEY,OR,COSMETOLOGY AND BARBER SCHOOLS,97086,(503) 652-2668 EXT 650,CLACKAMAS,41005,USA,www.phagans.com,NOT AVAILABLE,134
14,CAREER TRAINING ACADEMY-LOWER BURRELL,179 HILLCREST SHOPPING CENTER,LOWER BURRELL,PA,JUNIOR COLLEGES,15068,(724) 337-1000,WESTMORELAND,42129,USA,careerta.edu,CTA,130
15,EMPIRE BEAUTY SCHOOL-POTTSVILLE,396 POTTSVILLE - ST. CLAIR HIGHWAY,POTTSVILLE,PA,COSMETOLOGY AND BARBER SCHOOLS,17901,(800) 920-4593,SCHUYLKILL,42107,USA,www.empire.edu,NOT AVAILABLE,52
16,NEW ENGLAND INSTITUTE OF TECHNOLOGY,ONE NEW ENGLAND TECH BOULEVARD,EAST GREENWICH,RI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2818,(401) 739-5000,KENT,44003,USA,www.neit.edu,NEW ENGLAND TECH,2793
17,CHATTANOOGA COLLEGE MEDICAL DENTAL AND TECHNICAL CAREERS,248 NORTHGATE MALL DRIVE,CHATTANOOGA,TN,JUNIOR COLLEGES,37415,(423) 305-7781,HAMILTON,47065,USA,www.chattanoogacollege.edu,ELECTRONIC COMPUTER PROGRAMMING COLLEGE,273
18,TEXAS A & M UNIVERSITY-SYSTEM OFFICE,301 TARROW,COLLEGE STATION,TX,EDUCATIONAL SUPPORT SERVICES,77840,(979) 458-6000,BRAZOS,48041,USA,tamus.edu,NOT AVAILABLE,-999
19,O'BRIENS AVEDA INSTITUTE,400 CORNERSTONE DR 220,WILLISTON,VT,COSMETOLOGY AND BARBER SCHOOLS,5495,(802) 876-7044,CHITTENDEN,50007,USA,www.obriensavedainstitute.org,NOT AVAILABLE,41
20,VERMONT STATE COLLEGES-OFFICE OF THE CHANCELLOR,"575 STONE CUTTERS WAY, SUITE 1",MONTPELIER,VT,EDUCATIONAL SUPPORT SERVICES,5602,(802) 224-3000,WASHINGTON,50023,USA,www.vsc.edu,VSC,-999
21,SYLVAIN MELLOUL INTERNATIONAL HAIR ACADEMY,3405 CANDLERS MOUNTAIN RD. #G360,LYNCHBURG,VA,COSMETOLOGY AND BARBER SCHOOLS,24502,(434) 385-7722,LYNCHBURG,51680,USA,smiha.edu,"SYLVAIN MELLOUL INT'L HAIR ACADEMY, SMIHA",60
22,TONI & GUY HAIRDRESSING ACADEMY-SHORELINE,18336 AURORA AVE. NORTH SUITE 103,SHORELINE,WA,COSMETOLOGY AND BARBER SCHOOLS,98133,(206) 542-1111 EXT 5,KING,53033,USA,www.toniguy.edu,NOT AVAILABLE,79
23,RALPH R WILLIS CAREER AND TECHNICAL CENTER,"144 VOCATIONAL ROAD, THREE MILE CURVE",STOLLINGS,WV,OTHER TECHNICAL AND TRADE SCHOOLS,25646,(304) 752-4687 EXT 2207,LOGAN,54045,USA,www.rrw.logancountyschoolswv.com/,NOT AVAILABLE,39
24,WOOD COUNTY SCHOOL OF PRACTICAL NURSING,300 CAMPUS DRIVE,PARKERSBURG,WV,OTHER TECHNICAL AND TRADE SCHOOLS,26104,(304) 424-8305,WOOD,54107,USA,woodcountyschoolswv.com/WCT/Class/10452-Practical-Nursing,NOT AVAILABLE,28
25,DIESEL DRIVING ACADEMY-SHREVEPORT,3523 GREENWOOD ROAD,SHREVEPORT,LA,OTHER TECHNICAL AND TRADE SCHOOLS,71109,(318) 636-6300,CADDO,22017,USA,www.dda.edu,NOT AVAILABLE,154
26,INTERCOAST COLLEGES-ANAHEIM,388 W. CERRITOS AVE. BLDG 7,ANAHEIM,CA,OTHER TECHNICAL AND TRADE SCHOOLS,92805,(714) 712-7900,ORANGE,6059,USA,www.intercoast.edu,NOT AVAILABLE,285
27,ROSS COLLEGE-QUAD CITIES,2119 KIMBERLY RD.,BETTENDORF,IA,JUNIOR COLLEGES,52722,(563) 344-1500,SCOTT,19163,USA,www.rosseducation.edu,NOT AVAILABLE,73
28,GENESIS CAREER COLLEGE-LEBANON,1505 NOAH COURT,LEBANON,TN,COSMETOLOGY AND BARBER SCHOOLS,37087,(470) 259-4514,WILSON,47189,USA,www.genesiscareer.edu,NOT AVAILABLE,112
29,RAPHAEL'S SCHOOL OF BEAUTY CULTURE INC-BOARDMAN,615 BOARDMAN-CANFIELD RD,BOARDMAN,OH,COSMETOLOGY AND BARBER SCHOOLS,44512,(330) 782-3395,MAHONING,39099,USA,www.raphaelsbeautyschool.edu,NOT AVAILABLE,116
30,ULSTER BOCES SCHOOL OF PRACTICAL NURSING,727 GRANT AVENUE,LAKE KATRINE,NY,OTHER TECHNICAL AND TRADE SCHOOLS,12449,(845) 331-5050 EXT 2218,ULSTER,36111,USA,www.ulsterboces.org,NOT AVAILABLE,65
31,CONCORDE CAREER COLLEGE-GRAND PRAIRIE,305 W. INTERSTATE 20,GRAND PRAIRIE,TX,JUNIOR COLLEGES,75052,(469) 348-2500,TARRANT,48439,USA,www.concorde.edu,NOT AVAILABLE,768
32,VIRGINIA COLLEGE-AUSTIN,14200 N IH - 35,AUSTIN,TX,JUNIOR COLLEGES,78728,(512) 371-3500,TRAVIS,48453,USA,www.vc.edu,NOT AVAILABLE,511
33,ITT TECHNICAL INSTITUTE-PLYMOUTH MEETING,"220 W. GERMANTOWN PIKE, SUITE 100",PLYMOUTH MEETING,PA,JUNIOR COLLEGES,19462,NOT AVAILABLE,MONTGOMERY,42091,USA,NOT AVAILABLE,NOT AVAILABLE,-999
34,PANACHE ACADEMY OF BEAUTY,1120 ZAP DRIVE,BARABOO,WI,COSMETOLOGY AND BARBER SCHOOLS,53913,(608) 253-7262,SAUK,55111,USA,panacheacademyofbeauty.com,NOT AVAILABLE,49
35,STUDIO BEAUTY SCHOOL,10001 E SPRAGUE AVE,SPOKANE VALLEY,WA,COSMETOLOGY AND BARBER SCHOOLS,99206,(509) 242-9921,SPOKANE,53063,USA,www.studiobeautyschool.com,NOT AVAILABLE,52
36,K & G 5 STAR BARBER COLLEGE,409 CRIMSON COAST DR,LEAGUE CITY,TX,COSMETOLOGY AND BARBER SCHOOLS,77573,(409) 655-5718,GALVESTON,48167,USA,www.kandgbarbercollege.com,NOT AVAILABLE,21
37,RELAY GRADUATE SCHOOL OF EDUCATION - DALLAS-FORT WORTH,1825 MARKET CENTER BLVD.,DALLAS,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",75207,NOT AVAILABLE,DALLAS,48113,USA,NOT AVAILABLE,NOT AVAILABLE,-999
38,"RELAY GRADUATE SCHOOL OF EDUCATION - WASHINGTON, D.C","2600 VIRGINIA AVENUE, NW, SUITE 900",WASHINGTON,DC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",20037,NOT AVAILABLE,DISTRICT OF COLUMBIA,11001,USA,NOT AVAILABLE,NOT AVAILABLE,-999
39,HEALTH CAREER INSTITUTE- LAUDERDALE LAKES,4850 WEST OAKLAND PARK BOULEVARD,LAUDERDALE LAKES,FL,OTHER TECHNICAL AND TRADE SCHOOLS,33313,NOT AVAILABLE,BROWARD,12011,USA,NOT AVAILABLE,NOT AVAILABLE,-999
40,NATIONAL UNIVERSITY COLLEGE - MAYAGUEZ CAMPUS,"ROAD #2 KM.156.3, BO. SABALOS",MAYAGUEZ,PR,JUNIOR COLLEGES,680,NOT AVAILABLE,MAYAGÜEZ,72097,PRI,NOT AVAILABLE,NOT AVAILABLE,-999
41,MYOTHERAPY INSTITUTE,4001 PIONEER WOODS DRIVE,LINCOLN,NE,JUNIOR COLLEGES,68506,(402) 421-7410,LANCASTER,31109,USA,www.myotherapy.edu,NOT AVAILABLE,23
42,KENNETH SHULER SCHOOL OF COSMETOLOGY-ROCK HILL,2383 CHERRY ROAD,ROCK HILL,SC,COSMETOLOGY AND BARBER SCHOOLS,29730,(803) 328-5166,YORK,45091,USA,www.kennethshuler.com,NOT AVAILABLE,89
43,CET-EL PASO,294 CANDELARIA STREET,EL PASO,TX,OTHER TECHNICAL AND TRADE SCHOOLS,79907,(408) 287-7924,EL PASO,48141,USA,https://cetweb.edu,NOT AVAILABLE,82
44,SPENCERIAN COLLEGE-LEXINGTON,2355 HARRODSBURG RD,LEXINGTON,KY,JUNIOR COLLEGES,40504,(859) 223-9608,FAYETTE,21067,USA,spencerian.edu,NOT AVAILABLE,59
45,NORTHWEST HVAC/R TRAINING CENTER,204 E. NORA AVE,SPOKANE,WA,OTHER TECHNICAL AND TRADE SCHOOLS,99207,(509) 747-8810,SPOKANE,53063,USA,www.inwhvac.org,NOT AVAILABLE,48
46,VATTEROTT COLLEGE-ST JOSEPH,3709 N. BELT HWY,SAINT JOSEPH,MO,JUNIOR COLLEGES,64506,(816) 364-5399,BUCHANAN,29021,USA,www.vatterott.edu,NOT AVAILABLE,-999
47,TONI & GUY HAIRDRESSING ACADEMY-PLANO,1921 PRESTON ROAD #2022,PLANO,TX,COSMETOLOGY AND BARBER SCHOOLS,75093,(972) 810-6750,COLLIN,48085,USA,toniguy.com/academy/dallas_beauty_school/default.aspx,NOT AVAILABLE,226
48,VATTEROTT COLLEGE-OKLAHOMA CITY,5537 NW EXPRESSWAY,WARR ACRES,OK,JUNIOR COLLEGES,73132,(405) 945-0088,OKLAHOMA,40109,USA,www.vatterott.edu,NOT AVAILABLE,108
49,MY LE'S BEAUTY COLLEGE,4516 FLORIN ROAD,SACRAMENTO,CA,COSMETOLOGY AND BARBER SCHOOLS,95823,(916) 422-0223,SACRAMENTO,6067,USA,www.mylebeautycollegeinc.com,NOT AVAILABLE,122
50,FORTIS COLLEGE-ORANGE PARK,700 BLANDING BLVD. SUITE 16,ORANGE PARK,FL,JUNIOR COLLEGES,32065,(904) 269-7086,CLAY,12019,USA,fortis.edu,NOT AVAILABLE,398
51,PACIFIC ISLANDS UNIVERSITY,172 KINNEY'S ROAD,MANGILAO,GU,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",96913,(671) 734-1812,GUAM,66010,GUM,www.PIU.edu,NOT AVAILABLE,55
52,NATIONAL AMERICAN UNIVERSITY-ALBUQUERQUE WEST,10131 COORS BOULEVARD NORTH WEST SUITE I-01,ALBUQUERQUE,NM,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",87114,(505) 348-3750,BERNALILLO,35001,USA,www.national.edu/locations/campuses/albuquerque-west/,NOT AVAILABLE,163
53,OREGON STATE UNIVERSITY-CASCADES CAMPUS,1500 SW CHANDLER AVENUE,BEND,OR,JUNIOR COLLEGES,97702,(541) 322-3100,DESCHUTES,41017,USA,www.osucascades.edu,NOT AVAILABLE,1204
54,INSTITUTE FOR THERAPEUTIC MASSAGE,"1069 RINGWOOD AVENUE, SUITE 215",HASKELL,NJ,OTHER TECHNICAL AND TRADE SCHOOLS,7420,(973) 839-6131,PASSAIC,34031,USA,www.massageprogram.com,NOT AVAILABLE,57
55,SUSQUEHANNA COUNTY CAREER AND TECHNOLOGY CENTER,2380 ELK LAKE SCHOOL ROAD,SPRINGVILLE,PA,COSMETOLOGY AND BARBER SCHOOLS,18844,(570) 278-9229,SUSQUEHANNA,42115,USA,www.scctc-school.org,SCCTC | SUSQ. CO. CTC | SCC&TC | SUSQUEHANNA CO. CTC |,66
